200 PA4-K-Unknown-myOutput.txt
12.00	-15.17	-14.05		12.00	-15.12	-14.02	0.056
22.30	8.06	51.50		22.39	8.07	51.51	0.091
20.76	14.89	-30.78		20.74	14.88	-30.75	0.039
-1.92	-9.73	-37.48		-1.85	-9.73	-37.49	0.074
28.48	22.01	-11.56		28.47	22.01	-11.56	0.006
-7.76	0.65	28.51		-7.76	0.65	28.51	0.005
10.23	20.81	56.24		10.23	20.72	56.24	0.094
2.67	13.30	-5.38		2.65	13.32	-5.40	0.032
6.01	21.75	33.19		6.00	21.92	33.22	0.172
-4.15	-4.58	36.12		-4.27	-4.70	36.13	0.171
26.68	-3.01	20.25		26.64	-2.98	20.23	0.047
-23.21	-14.47	-6.07		-23.21	-14.47	-6.06	0.006
-11.14	-24.92	-12.56		-11.16	-24.88	-12.59	0.054
17.41	6.45	-24.25		17.50	6.50	-24.19	0.124
-20.74	9.86	-36.65		-20.75	9.72	-36.54	0.182
-6.75	7.85	46.67		-6.80	7.85	46.67	0.047
33.40	-5.68	2.48		33.52	-5.83	2.48	0.197
0.14	4.50	-22.04		0.12	4.48	-22.02	0.024
36.16	4.17	10.80		36.20	4.17	10.84	0.056
22.18	4.32	50.73		22.21	4.31	50.74	0.035
-21.33	-27.30	-40.96		-21.34	-27.34	-41.00	0.061
-30.57	-30.40	-27.17		-30.65	-30.55	-27.18	0.172
16.95	25.11	-18.41		16.93	25.14	-18.41	0.033
-3.52	-20.57	-36.23		-3.38	-20.67	-36.31	0.185
21.02	18.77	32.95		21.04	18.78	32.95	0.024
-25.12	11.02	-21.58		-25.18	11.20	-21.57	0.185
-26.36	1.23	-44.85		-26.36	1.24	-44.86	0.010
24.68	24.27	-7.43		24.68	24.27	-7.43	0.005
-31.21	-23.78	-11.37		-31.21	-23.79	-11.36	0.018
-32.04	-29.78	-27.38		-32.02	-29.76	-27.38	0.028
-4.60	-16.45	-40.74		-4.59	-16.45	-40.74	0.003
-17.40	-32.50	-26.93		-17.41	-32.40	-26.94	0.099
-11.89	-20.77	-9.55		-11.89	-20.82	-9.49	0.082
-28.01	-20.23	-7.18		-28.01	-20.23	-7.18	0.005
17.33	-1.06	-22.49		17.34	-1.06	-22.48	0.021
-17.62	-8.06	-48.31		-17.60	-8.04	-48.39	0.092
19.60	14.29	59.64		19.54	14.25	59.63	0.069
30.44	-8.66	-6.85		30.50	-8.73	-6.87	0.091
20.43	-2.18	41.58		20.50	-2.26	41.59	0.105
28.63	-1.22	-27.79		28.70	-1.30	-27.88	0.137
25.12	-5.60	13.47		25.18	-5.79	13.51	0.205
11.73	21.75	42.45		11.72	21.78	42.45	0.030
16.08	2.00	-21.67		16.07	2.00	-21.71	0.041
-22.45	-28.25	-13.16		-22.45	-28.27	-13.14	0.030
-31.90	-29.78	-27.20		-31.93	-29.83	-27.20	0.059
35.66	0.44	-19.48		35.53	0.43	-19.44	0.129
-29.91	-30.21	-21.04		-29.93	-30.26	-21.04	0.053
-42.02	-13.80	-18.11		-41.99	-13.79	-18.12	0.029
-8.71	-0.36	23.59		-8.70	-0.36	23.58	0.004
14.85	11.83	-17.74		14.89	11.84	-17.73	0.046
-7.25	23.29	33.75		-7.25	23.31	33.75	0.019
-34.21	-24.71	-15.37		-34.23	-24.73	-15.35	0.034
-26.23	9.30	-18.05		-26.26	9.39	-18.00	0.103
-24.55	5.07	-42.12		-24.54	5.03	-42.08	0.060
2.14	-7.70	28.59		2.15	-7.75	28.60	0.058
-7.70	25.16	25.66		-7.70	25.08	25.66	0.074
31.74	-7.83	-2.38		31.74	-7.84	-2.38	0.002
-0.78	19.69	42.35		-0.81	19.78	42.37	0.092
-0.87	-10.22	-34.60		-1.00	-10.24	-34.57	0.131
14.50	19.40	57.19		14.53	19.45	57.20	0.059
35.16	4.45	12.05		35.13	4.45	12.03	0.041
-26.49	9.02	-35.88		-26.47	8.96	-35.85	0.067
-2.18	-2.16	63.43		-2.18	-2.16	63.43	0.005
15.02	-5.06	51.71		15.03	-5.07	51.71	0.011
25.40	5.03	34.19		25.33	5.03	34.17	0.070
-5.21	-2.27	57.28		-5.06	-2.16	57.28	0.179
8.85	20.66	57.24		8.86	20.62	57.24	0.037
23.23	-4.24	23.18		23.22	-4.21	23.17	0.033
